2017-05-07 12:32:28,441 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: log4j-text:log4j-text:0.0.1-SNAPSHOT @ C:\Users\Moon\Desktop\framework-workspace1\log4j-test\pom.xml.
2017-05-07 12:32:32,225 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:32:32,227 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\log4j-test\src\main\resources
2017-05-07 12:32:32,229 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:32:32,232 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\log4j-test\src\test\resources
2017-05-07 12:32:34,225 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: mybatis-study:mybatis-study:0.0.1-SNAPSHOT @ C:\Users\Moon\Desktop\framework-workspace1\mybatis-study\pom.xml.
2017-05-07 12:32:34,602 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:32:34,609 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2017-05-07 12:32:34,957 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:32:34,959 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\mybatis-study\src\test\resources
2017-05-07 12:32:35,235 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: springAOP1-ex:springAOP1-ex:0.0.1-SNAPSHOT @ C:\Users\Moon\Desktop\framework-workspace1\springAOP1-ex\pom.xml.
2017-05-07 12:32:35,673 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:32:35,675 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springAOP1-ex\src\main\resources
2017-05-07 12:32:35,676 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-07 12:32:35,677 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Moon\Desktop\framework-workspace1\springAOP1-ex\src\test\resources
2017-05-07 12:32:36,209 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: springAOP1-solution:springAOP1-solution:0.0.1-SNAPSHOT @ C:\Users\Moon\Desktop\framework-workspace1\springAOP1-solution\pom.xml.
2017-05-07 12:32:36,741 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
